system_metadata.id,organisation.country,organisation.url,repository_metadata.software.name,repository_metadata.metadata_record_count,repository_metadata.type,repository_metadata.url,repository_metadata.full_text_record_count,repository_metadata.oai_url,system_metadata.uri,repository_metadata.software.name_other
83,nl,http://www.maastrichtuniversity.nl/,pure,89318.0,institutional,https://cris.maastrichtuniversity.nl/en/publications/,12481.0,http://cris.maastrichtuniversity.nl/ws/oai,https://v2.sherpa.ac.uk/id/repository/83,
84,us,https://www.carleton.edu,other,42.0,institutional,https://digitalcommons.carleton.edu/,,,https://v2.sherpa.ac.uk/id/repository/84,Digital Commons
85,us,http://www.conncoll.edu/,other,8531.0,institutional,https://digitalcommons.conncoll.edu/,5639.0,http://digitalcommons.conncoll.edu/do/oai/,https://v2.sherpa.ac.uk/id/repository/85,Digital Commons
87,us,https://www.trinity.edu,other,1160.0,institutional,https://digitalcommons.trinity.edu/,,,https://v2.sherpa.ac.uk/id/repository/87,Digital Commons
88,us,http://web.mit.edu/,dspace,101932.0,institutional,http://dspace.mit.edu/,,http://dspace.mit.edu/oai/request,https://v2.sherpa.ac.uk/id/repository/88,
91,us,http://www.pace.edu/,other,5574.0,institutional,http://digitalcommons.pace.edu/,4341.0,http://digitalcommons.pace.edu/do/oai/,https://v2.sherpa.ac.uk/id/repository/91,Digital Commons
93,us,https://www.tmc.edu,other,7268.0,institutional,https://digitalcommons.library.tmc.edu/,2658.0,http://digitalcommons.library.tmc.edu/do/oai/,https://v2.sherpa.ac.uk/id/repository/93,Digital Commons
94,us,http://www.fau.edu/,digitool,15568.0,institutional,https://library.fau.edu/digital-library,,,https://v2.sherpa.ac.uk/id/repository/94,
96,us,http://www.macalester.edu/,other,6147.0,institutional,http://digitalcommons.macalester.edu/,4442.0,http://digitalcommons.macalester.edu/do/oai/,https://v2.sherpa.ac.uk/id/repository/96,Digital Commons
98,us,http://www.uconn.edu/,other,15867.0,institutional,https://opencommons.uconn.edu/,0.0,http://digitalcommons.uconn.edu/do/oai/,https://v2.sherpa.ac.uk/id/repository/98,Digital Commons
99,us,http://www.unl.edu/,other,117659.0,institutional,http://digitalcommons.unl.edu/,92233.0,http://digitalcommons.unl.edu/do/oai/,https://v2.sherpa.ac.uk/id/repository/99,Digital Commons
100,us,http://www.utep.edu/,other,21412.0,institutional,https://scholarworks.utep.edu/,10.0,,https://v2.sherpa.ac.uk/id/repository/100,Digital Commons
101,nl,https://www.uu.nl,dspace,185637.0,institutional,http://dspace.library.uu.nl,1686.0,https://dspace.library.uu.nl/oai/request,https://v2.sherpa.ac.uk/id/repository/101,
104,de,https://www.slub-dresden.de/,fedora,23199.0,institutional,https://www.qucosa.de/startseite/,,http://www.qucosa.de/oai/,https://v2.sherpa.ac.uk/id/repository/104,
105,be,https://www.uhasselt.be,dspace,27376.0,institutional,https://documentserver.uhasselt.be/,0.0,https://documentserver.uhasselt.be/oai/request,https://v2.sherpa.ac.uk/id/repository/105,
108,us,http://oregonstate.edu/,other,60417.0,institutional,https://ir.library.oregonstate.edu/,,http://ir.library.oregonstate.edu/oai/request,https://v2.sherpa.ac.uk/id/repository/108,Hyrax
109,gb,https://www.cam.ac.uk,dspace,225631.0,institutional,https://www.repository.cam.ac.uk/home,,https://www.repository.cam.ac.uk/oai/request,https://v2.sherpa.ac.uk/id/repository/109,
114,cl,https://www.utalca.cl,dspace,11406.0,institutional,http://dspace.utalca.cl/index.jsp,6073.0,http://dspace.utalca.cl/oai/request,https://v2.sherpa.ac.uk/id/repository/114,
115,in,http://www.iimk.ac.in/,dspace,810.0,institutional,http://dspace.iimk.ac.in/,0.0,http://dspace.iimk.ac.in/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/115,
116,in,http://www.nitrkl.ac.in/,dspace,2850.0,institutional,http://dspace.nitrkl.ac.in/dspace/,,http://dspace.nitrkl.ac.in:8080/dspace-oai/request?,https://v2.sherpa.ac.uk/id/repository/116,
117,jp,https://www.waseda.jp/top/en,weko,46388.0,institutional,https://waseda.repo.nii.ac.jp/,39513.0,http://waseda.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/117,
119,ie,http://www.dcu.ie/,eprints,9700.0,institutional,http://doras.dcu.ie/,8452.0,http://doras.dcu.ie/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/119,
121,no,https://www.uio.no,dspace,49728.0,institutional,http://www.duo.uio.no/,,,https://v2.sherpa.ac.uk/id/repository/121,
126,es,https://www.ucm.es,eprints,39575.0,institutional,https://eprints.ucm.es,,https://eprints.ucm.es/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/126,
128,gb,https://www.mmu.ac.uk,eprints,16606.0,institutional,http://www.e-space.mmu.ac.uk,9414.0,https://e-space.mmu.ac.uk/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/128,
130,us,http://www.nau.edu/,greenstone,892.0,institutional,http://library.eri.nau.edu/,,,https://v2.sherpa.ac.uk/id/repository/130,
