,clickable_url,url_check
137,http://www.repotesis.art.sld.cu/,200
138,http://biblioteca.ciess.org/adiss/,200
139,http://tesis.epg.uagrm.edu.bo/sdx/uagrm,ConnectionError
140,http://cybertesis.ubiobio.cl:8180/sdx/ubiobio/,ConnectionError
141,http://cybertesis.ucv.cl/sdx/pucv/termes.xsp,ConnectionError
142,http://cybertesis.uach.cl/,ReadTimeoutError
143,http://cybertesis.uni.edu.pe/,200
144,http://acikerisim.antalya.edu.tr,200
145,http://www.repository.naturalis.nl/,200
146,https://repositoriopesquisas.ibict.br/,200
147,https://dataverse.scholarsportal.info/dataverse/GREO,200
148,https://edatos.consorciomadrono.es/,200
149,https://dataverse.unimi.it/,200
150,https://dataverse.openforestdata.pl,200
151,https://dataverse.tdl.org/,200
152,https://dataverse.lib.virginia.edu,200
153,https://dataverse.unc.edu/,200
154,https://researchdata.ntu.edu.sg,200
155,https://dataverse.harvard.edu/,200
156,http://www.unibw.de/unibib/digibib/ediss/,404
157,http://prensahistorica.mcu.es/es/estaticos/contenido.cmd?pagina=estaticos/presentacion,200
158,http://www.mapfre.com/documentacion/publico/i18n/consulta/busqueda.cmd,200
159,http://bivaldi.gva.es/,200
160,http://coleccionfff.unav.es/bvunav/i18n/estaticos/contenido.cmd?pagina=estaticos/presentacion,404
161,http://bibliotecadigital.jcyl.es,200
162,http://bibliotecadigital.rah.es/dgbrah/i18n/estaticos/contenido.cmd?pagina=estaticos/presentacion,404
163,http://bibliotecavirtualdefensa.es/BVMDefensa/i18n/estaticos/contenido.cmd?pagina=estaticos/presentacion,200
164,http://bibliotecadigital.aecid.es/bibliodig/es/estaticos/contenido.cmd,200
165,http://bibliotecadigital.rah.es,200
166,http://scholarworks.harding.edu,200
167,https://www.tdcommons.org,200
168,https://scholarworks.uaeu.ac.ae,200
169,http://ro.uow.edu.au/,200
170,http://epubs.scu.edu.au/,200
171,http://www.library.uow.edu.au/theses/index.html,200
172,http://www.ecu.edu.au/library/services/adt.html,200
173,http://researchonline.nd.edu.au/,200
174,http://ro.ecu.edu.au/,200
175,http://research.avondale.edu.au/,200
176,https://mbs.works.bepress.com,ConnectionError
177,https://www.worldtransitresearch.info,200
178,https://ir.lib.uwo.ca,200
179,http://digital.library.ryerson.ca/,200
180,http://scholars.wlu.ca/,200
181,http://scholar.uwindsor.ca,200
182,http://source.sheridancollege.ca/,200
183,http://digitalcommons.osgoode.yorku.ca/,200
184,https://first.fanshawec.ca,200
185,https://digitalcommons.library.tru.ca,ConnectionError
186,https://ciencia.lasalle.edu.co,200
187,https://fount.aucegypt.edu/,200
188,http://commons.ln.edu.hk/,200
189,http://repository.hkbu.edu.hk/,ConnectionError
190,https://repository.vtc.edu.hk,200
191,http://repository.syekhnurjati.ac.id,200
192,https://arrow.tudublin.ie,200
193,https://sword.cit.ie,200
194,https://www.iris.unict.it,200
195,http://vitrina.bibliotecachiapas.gob.mx/,ConnectionError
196,http://works.bepress.com/frede_moreno/,404
