,full_query_x,manual_software_count_x,category_x,clickable_url,Unnamed: 0,system_metadata_id,organisation_country,organisation_url,repository_metadata_software_name,repository_metadata_metadata_record_count,repository_metadata_type,repository_metadata_url,manual_software_count_y,url_check,category_y,full_query_y,repository_metadata_full_text_record_count,repository_metadata_oai_url,system_metadata_uri,repository_metadata_software_name_other
10,,,,kwassui.repo.nii.ac.jp,4817,9916,jp,http://kwassui-int.ac.jp/,weko,,institutional,https://kwassui.repo.nii.ac.jp,0.0,ConnectionError,Does not contain software,https://kwassui.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&subject=&sbjscheme=&spatial=&des=&publisher=&cname=&filedate_from=&filedate_to=&fd_attr=&mimetype=&id=&id_attr=&srctitle=&type=43&itemtype=&lang=&temporal=&dategranted_from=&dategranted_to=&version=&dissno=&degreename=&dgname=&wid=&iid=&license=&text1=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,,http://kwassui.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/9916,
11,,,,mie-u.repo.nii.ac.jp/,531,973,jp,http://www.mie-u.ac.jp/,weko,11928.0,institutional,https://mie-u.repo.nii.ac.jp/,0.0,200,Does not contain software,https://mie-u.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_snippet&all=&title=&creator=&typeList=12&pubYearFrom=&pubYearUntil=&idx=&wekoAuthorId=&count=20&order=7&pn=1&page_id=13&block_id=21,0.0,http://mie-u.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/973,
12,,,,nagoya.repo.nii.ac.jp/?lang=english,285,523,jp,http://www.nagoya-u.ac.jp/,weko,100.0,institutional,https://nagoya.repo.nii.ac.jp/?lang=english,0.0,200,Does not contain software,https://nagoya.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&filedate_from=&filedate_to=&fd_attr=&id=&id_attr=&srctitle=&type=43&dissno=&lang=english,69.0,http://nagoya.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/523,
13,,,,niigata-u.repo.nii.ac.jp/,533,975,jp,http://www.niigata-u.ac.jp/index_e.html,weko,31612.0,institutional,https://niigata-u.repo.nii.ac.jp/,0.0,200,Does not contain software,https://niigata-u.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&subject=&sbjscheme=&spatial=&des=&publisher=&cname=&filedate_from=&filedate_to=&fd_attr=&mimetype=&id=&id_attr=&srctitle=&type=43&itemtype=&lang=&temporal=&dategranted_from=&dategranted_to=&version=&dissno=&degreename=&dgname=&wid=&iid=&license=&text1=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,,http://niigata-u.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/975,
14,,,,nuhm.repo.nii.ac.jp,4809,9907,jp,https://shitoku.ac.jp/,weko,,institutional,https://nuhm.repo.nii.ac.jp,0.0,200,Does not contain software,https://nuhm.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&type=43&wid=&iid=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,,http://nuhm.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/9907,
15,,,,repository.dl.itc.u-tokyo.ac.jp/?lang=english,490,914,jp,http://www.u-tokyo.ac.jp/,weko,47690.0,institutional,https://repository.dl.itc.u-tokyo.ac.jp/?lang=english,0.0,200,Does not contain software,https://repository.dl.itc.u-tokyo.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&des=&publisher=&cname=&filedate_from=&filedate_to=&fd_attr=&mimetype=&id=&id_attr=&srctitle=&type=43&dategranted_from=&dategranted_to=&dissno=&lang=english,,http://repository.dl.itc.u-tokyo.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/914,
16,,,,s-otani.repo.nii.ac.jp,4812,9911,jp,,weko,,institutional,https://s-otani.repo.nii.ac.jp,0.0,ConnectionError,Does not contain software,https://s-otani.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&subject=&sbjscheme=&spatial=&des=&publisher=&cname=&filedate_from=&filedate_to=&fd_attr=&mimetype=&id=&id_attr=&srctitle=&type=43&itemtype=&lang=&temporal=&dategranted_from=&dategranted_to=&version=&dissno=&degreename=&dgname=&wid=&iid=&license=&text1=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,,http://s-otani.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/9911,
17,,,,shukugawa.repo.nii.ac.jp,4818,9917,jp,https://www.kobe-c.ac.jp/ekc/,weko,,institutional,https://shukugawa.repo.nii.ac.jp,0.0,200,Does not contain software,https://shukugawa.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&subject=&sbjscheme=&spatial=&des=&publisher=&cname=&filedate_from=&filedate_to=&fd_attr=&mimetype=&id=&id_attr=&srctitle=&type=43&itemtype=&lang=&temporal=&dategranted_from=&dategranted_to=&version=&dissno=&degreename=&dgname=&wid=&iid=&license=&text1=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,,http://shukugawa.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/9917,
18,,,,suica.repo.nii.ac.jp,4813,9912,jp,https://www.yg.kobe-wu.ac.jp/wu/,,,institutional,https://suica.repo.nii.ac.jp,0.0,200,Does not contain software,https://suica.repo.nii.ac.jp/search?page=1&size=20&sort=-pyear&search_type=0&q=&title=&creator=&type=43&wid=&iid=,,http://suica.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/9912,
19,,,,tohoku-gakuin.repo.nii.ac.jp/,3888,6463,jp,https://www.tohoku-gakuin.ac.jp/en/,weko,8673.0,institutional,https://tohoku-gakuin.repo.nii.ac.jp/,0.0,200,Does not contain software,https://tohoku-gakuin.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&subject=&sbjscheme=&spatial=&des=&publisher=&cname=&filedate_from=&filedate_to=&fd_attr=&mimetype=&id=&id_attr=&srctitle=&type=43&itemtype=&lang=&temporal=&dategranted_from=&dategranted_to=&version=&dissno=&degreename=&dgname=&wid=&iid=&license=&text1=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,822.0,http://tohoku-gakuin.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/6463,
